,Position,Company,Experience,Salary,Used Technologies,Optional Technologies,Salary_Min,Salary_Max,Parsed Used Technologies
32,DevOps Engineer,Piwik PRO,mid,13000 22000,"{'Azure': 'regular', 'Kubernetes': 'regular', 'Docker': 'regular', 'Python': 'regular', 'Golang': 'regular', 'Bazy Danych': 'regular', 'Prometheus': 'regular', 'Grafana': 'regular', 'Terraform': 'regular'}",-,13000,22000.0,"['Azure', 'Kubernetes', 'Docker', 'Python', 'Golang', 'Bazy Danych', 'Prometheus', 'Grafana', 'Terraform']"
34,Frontend Developer,Mudita,mid,10000 13000,"{'TypeScript': 'advanced', 'React': 'advanced', 'CSS': 'advanced', 'GraphQL API': 'advanced', 'REST API': 'advanced', 'English': 'advanced'}",-,10000,13000.0,"['TypeScript', 'React', 'CSS', 'GraphQL API', 'REST API', 'English']"
36,JIRA Administrator,ArdentCode,mid,10500 14500,"{'JIRA': 'advanced', 'JQL': 'advanced', 'Confluence': 'regular', 'Scrum': 'junior', 'Amazon AWS': 'nice to have'}",-,10500,14500.0,"['JIRA', 'JQL', 'Confluence', 'Scrum', 'Amazon AWS']"
44,Thereforce Canon Architect,Gazelle Global IT Recruitment,senior,26790 35720,"{'Therefore Platform': 'advanced', 'Document Management': 'advanced', 'migration': 'advanced', 'integration': 'advanced', 'Amazon AWS': 'advanced', 'Microsoft Azure Cloud': 'advanced'}",-,26790,35720.0,"['Therefore Platform', 'Document Management', 'migration', 'integration', 'Amazon AWS', 'Microsoft Azure Cloud']"
47,Senior Salesforce Administrator,ITLT,senior,25000 31000,"{'Salesforce': 'advanced', 'English': 'advanced', 'Cloud': 'regular', 'Monitoring systems': 'regular', 'Data Integration': 'regular'}",-,25000,31000.0,"['Salesforce', 'English', 'Cloud', 'Monitoring systems', 'Data Integration']"
51,QA Engineer,Stonly,mid,13000 15500,"{'Manual Testing': 'regular', 'HTML5 / CSS3': 'nice to have', 'JavaScript': 'nice to have'}",-,13000,15500.0,"['Manual Testing', 'HTML5 / CSS3', 'JavaScript']"
53,Senior Business Analyst - banking 💸,ITDS,senior,19950 24000,"{'Business Analysis': 'advanced', 'English': 'advanced', 'Process Mapping': 'advanced', 'MS Excel': 'advanced', 'MS Visio': 'advanced', 'stakeholder management': 'advanced', 'MS Project': 'regular', 'Testing': 'regular', 'banking': 'regular', 'Project Management': 'junior'}",-,19950,24000.0,"['Business Analysis', 'English', 'Process Mapping', 'MS Excel', 'MS Visio', 'stakeholder management', 'MS Project', 'Testing', 'banking', 'Project Management']"
54,Remote Java Backend Developer,Kingfisher plc,mid,15000 21000,"{'Java': 'master', 'JSON': 'advanced', 'CI/CD': 'regular', 'SQL': 'regular'}",-,15000,21000.0,"['Java', 'JSON', 'CI/CD', 'SQL']"
55,Middle/Senior DevOps Engineer,Wonga.pl,mid,15000 20000,"{'DevOps': 'regular', 'Problem Solving': 'regular', 'Powershell': 'regular', 'Bash': 'regular'}",-,15000,20000.0,"['DevOps', 'Problem Solving', 'Powershell', 'Bash']"
56,Golang Developer,Idego,mid,17000 20000,"{'English': 'advanced', 'Golang': 'advanced', 'Redis': 'nice to have', 'PostgreSQL': 'nice to have', 'Kubernetes': 'nice to have', 'Firestore': 'nice to have', 'GCP': 'nice to have', 'Cloud': 'nice to have'}",-,17000,20000.0,"['English', 'Golang', 'Redis', 'PostgreSQL', 'Kubernetes', 'Firestore', 'GCP', 'Cloud']"
57,Project Manager,Applover,mid,10000 14000,"{'English': 'master', 'Polish': 'master', 'JIRA': 'regular'}",-,10000,14000.0,"['English', 'Polish', 'JIRA']"
58,Remote Quality Engineer,Kingfisher plc,mid,12000 18000,"{'Jenkins': 'advanced', 'JIRA': 'advanced', 'GitLab': 'advanced', 'Confluence': 'regular', 'CI/CD': 'regular', 'SQL': 'regular'}",-,12000,18000.0,"['Jenkins', 'JIRA', 'GitLab', 'Confluence', 'CI/CD', 'SQL']"
60,Senior DWH Developer,JellyTech Sp. z o.o.,senior,18000 28000,"{'ETL': 'advanced', 'DWH': 'advanced', 'SQL': 'advanced', 'Microsoft Azure': 'nice to have', 'Databricks': 'nice to have'}",-,18000,28000.0,"['ETL', 'DWH', 'SQL', 'Microsoft Azure', 'Databricks']"
61,Senior Business Analyst - banking 💸,ITDS,senior,19950 24000,"{'Business Analysis': 'advanced', 'English': 'advanced', 'Process Mapping': 'advanced', 'MS Excel': 'advanced', 'MS Visio': 'advanced', 'stakeholder management': 'advanced', 'MS Project': 'regular', 'Testing': 'regular', 'banking': 'regular', 'Project Management': 'junior'}",-,19950,24000.0,"['Business Analysis', 'English', 'Process Mapping', 'MS Excel', 'MS Visio', 'stakeholder management', 'MS Project', 'Testing', 'banking', 'Project Management']"
62,Embedded Firmware Engineer,Rebels Software Sp. z o.o.,senior,16800 25200,"{'Embedded Systems': 'advanced', 'C': 'advanced', 'RTOS': 'regular', 'TCP/IP': 'regular', 'Networking': 'regular', 'Blutooth Low Energy': 'regular'}",-,16800,25200.0,"['Embedded Systems', 'C', 'RTOS', 'TCP/IP', 'Networking', 'Blutooth Low Energy']"
64,QA Automation Engineer,Luxoft Poland,mid,14000 17000,"{'QA Automation': 'master', 'Java': 'master', 'REST API': 'advanced', 'Jenkins': 'advanced', 'Docker / Kubernetes': 'nice to have', 'aws cloud': 'nice to have'}",-,14000,17000.0,"['QA Automation', 'Java', 'REST API', 'Jenkins', 'Docker / Kubernetes', 'aws cloud']"
66,Full-Stack Engineer,ArdentCode,senior,16000 25000,"{'TypeScript': 'advanced', 'Node.js': 'advanced', 'JavaScript': 'advanced', 'Angular': 'regular', 'AWS': 'junior'}",-,16000,25000.0,"['TypeScript', 'Node.js', 'JavaScript', 'Angular', 'AWS']"
70,Backend .NET Developer,it-solve,mid,13400 18000,"{'MS SQL': 'regular', 'Git': 'regular', '.NET Core': 'regular', 'ASP.NET Core': 'regular', 'C#': 'regular', 'Microsoft Azure': 'regular', 'Amazon AWS': 'regular'}",-,13400,18000.0,"['MS SQL', 'Git', '.NET Core', 'ASP.NET Core', 'C#', 'Microsoft Azure', 'Amazon AWS']"
72,Back-end Team Leader,Startup House,senior,18800 27200,"{'Node.js': 'advanced', 'TypeScript': 'advanced', 'Nest.js': 'regular'}",-,18800,27200.0,"['Node.js', 'TypeScript', 'Nest.js']"
73,Front-end (VUE) Developer,it-solve,mid,13400 18000,"{'Vue.js': 'regular', 'JS': 'regular', 'HTML5': 'regular', 'CSS3': 'regular', 'SASS': 'regular', 'Git': 'junior', 'TypeScript': 'nice to have'}",-,13400,18000.0,"['Vue.js', 'JS', 'HTML5', 'CSS3', 'SASS', 'Git', 'TypeScript']"
74,Fullstack JavaScript Developer,StratsLab,senior,20000 40000,"{'JavaScript': 'advanced', 'Python': 'nice to have', 'React': 'nice to have', 'TypeScript': 'nice to have'}",-,20000,40000.0,"['JavaScript', 'Python', 'React', 'TypeScript']"
75,Senior Java Developer,Lufthansa Systems,senior,10000 29400,"Java, Spring Boot, Git, Docker, JUnit, Angular","Jenkins (CI/CD), Ansible, LogBack, MongoDB, Kafka, Swagger, Maven",10000,29400.0,"['Java', 'Spring Boot', 'Git', 'Docker', 'JUnit', 'Angular']"
76,DevOps Engineer,JellyTech,senior,22000 26800,"Python, Java, AWS, Git, Nexus, Artifactory, Gradle, Teamscale, CI/CD",,22000,26800.0,"['Python', 'Java', 'AWS', 'Git', 'Nexus', 'Artifactory', 'Gradle', 'Teamscale', 'CI/CD']"
86,Senior AWS Python Developer,ITDS Polska Sp. z o.o.,senior,21000 25200,"AWS, Python, Linux, Jenkins, Git, Ansible",Terraform,21000,25200.0,"['AWS', 'Python', 'Linux', 'Jenkins', 'Git', 'Ansible']"
87,Testing and Senior QA Specialist,ITDS Polska Sp. z o.o.,senior,18900 24150,,,18900,24150.0,[]
88,Machine Learning,ITDS Polska Sp. z o.o.,mid,18900 23100,"Java, Python, Jenkins, Ansible, Git",,18900,23100.0,"['Java', 'Python', 'Jenkins', 'Ansible', 'Git']"
89,Lead Cloud Security Engineer,ITDS Polska Sp. z o.o.,senior,21000 25200,"Microsoft Azure, Amazon Web Services, Google Cloud Platform, Alibaba Cloud, Python, Bash, PowerShell","Jenkins, Terraform, Ansible, GitHub, Nexus",21000,25200.0,"['Microsoft Azure', 'Amazon Web Services', 'Google Cloud Platform', 'Alibaba Cloud', 'Python', 'Bash', 'PowerShell']"
91,Elektronik - Programista,MULTI ROTOR GENERATOR Sp. z o.o.,mid,6000 8500,,,6000,8500.0,[]
92,Software Architect,Recruit Europe Sp.zo.o.,,28000 41000,,,28000,41000.0,[]
93,Software Developer C++ / Linux / Buildroot,Recruit Europe Sp.zo.o.,,28000 41000,,,28000,41000.0,[]
94,Embedded Software Developer with focus on Image processing,Recruit Europe Sp.zo.o.,,28000 41000,,,28000,41000.0,[]
95,React Senior Developer,AppVelocity Inc,,18000 28000,,,18000,28000.0,[]
98,Key Account Manager - branża IT,VENTI Efektywne Rozwiązania Internetowe,mid,7000 15500,,,7000,15500.0,[]
100,SAP Basis Engineer for System Integration,CSHARK sp. z o.o.,,24000 33500,,,24000,33500.0,[]
102,Tester Manualny,Team Connect Sp. z o.o.,mid,11200 14400,"REST API, Postman, Swagger, SQL, Kibana, Jira, Confluence",,11200,14400.0,"['REST API', 'Postman', 'Swagger', 'SQL', 'Kibana', 'Jira', 'Confluence']"
105,Junior .NET Developer,EMPLO sp. z o.o.,junior,4000 10000,"C#, ASP.NET MVC, Entity Framework, SQL, .NET, .NET Core, Docker","React.js, TypeScript, CSS, HTML",4000,10000.0,"['C#', 'ASP.NET MVC', 'Entity Framework', 'SQL', '.NET', '.NET Core', 'Docker']"
106,Programista .NET,EMPLO sp. z o.o.,mid,9000 16000,"C#, ASP.NET MVC, Entity Framework, SQL, Docker, .NET Core, .NET","React.js, CSS, HTML, TypeScript",9000,16000.0,"['C#', 'ASP.NET MVC', 'Entity Framework', 'SQL', 'Docker', '.NET Core', '.NET']"
109,Technical Support Specialist I with French/Spanish (2nd line),JAMF,,8750 11000,,,8750,11000.0,[]
110,Technical Support Engineer,Catalogic Software,mid,10000 15000,,"Bash, PowerShell, Microsoft Exchange, Oracle",10000,15000.0,[]
111,Test Automation Engineer (QA),Catalogic Software,mid,5000 10000,"pyTest, Selenium, Java, HTML, CSS, JavaScript, Docker, Git, GitFlow","Cypress, Compose, Swarm",5000,10000.0,"['pyTest', 'Selenium', 'Java', 'HTML', 'CSS', 'JavaScript', 'Docker', 'Git', 'GitFlow']"
112,Java Developer,Catalogic Software,mid,10000 20000,"Java, Spring Framework, Docker, Git, GitFlow","Maven, Gradle, Composer, Swarm",10000,20000.0,"['Java', 'Spring Framework', 'Docker', 'Git', 'GitFlow']"
113,C# Developer,Catalogic Software,mid,10000 15000,"C#, .NET Core, HTTP, SQL, Entity Framework",,10000,15000.0,"['C#', '.NET Core', 'HTTP', 'SQL', 'Entity Framework']"
114,Junior IT Specialist,Catalogic Software,junior,5000 9000,,,5000,9000.0,[]
115,C Developer,Catalogic Software,mid,10000 15000,"C, Linux","C#, Microsoft SQL Server, Microsoft Exchange, SharePoint, Oracle, Volume Shadow Copy Service",10000,15000.0,"['C', 'Linux']"
116,Technical Documentation Writer,Catalogic Software,mid,5000 10000,,,5000,10000.0,[]
117,Młodszy Specjalista ds. IT,Prime Engineering Poland,junior,5000 8000,,,5000,8000.0,[]
118,Administrator Systemów IT,Prime Engineering Poland,mid,14000 18000,"Windows Server, Active Directory, Windows Client, MECM, VMware, PowerShell",Linux,14000,18000.0,"['Windows Server', 'Active Directory', 'Windows Client', 'MECM', 'VMware', 'PowerShell']"
119,PowerBI Support,Prime Engineering Poland,mid,16000 21000,"Microsoft Power BI, Linux, Oracle, SQL, Shell, Bitbucket, Jenkins, Artifactory, Ansible",,16000,21000.0,"['Microsoft Power BI', 'Linux', 'Oracle', 'SQL', 'Shell', 'Bitbucket', 'Jenkins', 'Artifactory', 'Ansible']"
125,Senior Node.js Developer,MERIXSTUDIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,senior,13000 23000,"Node.js, TypeScript, PostgreSQL, MongoDB, DynamoDB, Express, Nest.js, Linux, AWS, Docker, Redis, RabbitMQ","Google Cloud Platform, Microsoft Azure",13000,23000.0,"['Node.js', 'TypeScript', 'PostgreSQL', 'MongoDB', 'DynamoDB', 'Express', 'Nest.js', 'Linux', 'AWS', 'Docker', 'Redis', 'RabbitMQ']"
130,Frontend Developer,E NET PRODUCTION,mid,10000 18000,"JavaScript, SASS, SCSS, Vue.js, Git","TypeScript, Docker",10000,18000.0,"['JavaScript', 'SASS', 'SCSS', 'Vue.js', 'Git']"
131,PHP Developer,E NET PRODUCTION,mid,10000 18000,"PHP, Symfony, MySQL","Redis, Elasticsearch, RabbitMQ, Varnish, Docker",10000,18000.0,"['PHP', 'Symfony', 'MySQL']"
132,Software Tester,E NET PRODUCTION,mid,10000 14000,"REST API, JavaScript, Cypress, SQL, TypeScript","Linux, BrowserStack, Jira, Elasticsearch, Redis, Git, NoSQL",10000,14000.0,"['REST API', 'JavaScript', 'Cypress', 'SQL', 'TypeScript']"
133,AUTOSAR Engineer,L&T Technology Services Limited (Sp. z o.o.) - Oddział w Polsce,mid,16000 24000,,,16000,24000.0,[]
140,iOS Developer (mPilot),Lufthansa Systems,senior,10000 29400,"Swift, Git, SwiftUI, Jira","UIKit, CoreData, XCTest, Xcode, Fastlane, Swift Package Manager",10000,29400.0,"['Swift', 'Git', 'SwiftUI', 'Jira']"
141,iOS Developer (mPilot),Lufthansa Systems,mid,8000 16000,"Swift, Git, SwiftUI, Jira","UIKit, CoreData, XCTest, Xcode, Fastlane, Swift Package Manager",8000,16000.0,"['Swift', 'Git', 'SwiftUI', 'Jira']"
144,Product Owner / System Analyst,Consdata S.A.,mid,10500 19000,BPMN,,10500,19000.0,['BPMN']
145,Regular Fullstack Developer (Java+Angular),Consdata S.A.,mid,11300 21000,"Java, Spring Framework, Angular, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",11300,21000.0,"['Java', 'Spring Framework', 'Angular', 'PostgreSQL', 'MongoDB', 'Docker']"
146,Regular Java Developer,Consdata S.A.,mid,11300 21000,"Java, Spring Framework, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",11300,21000.0,"['Java', 'Spring Framework', 'PostgreSQL', 'MongoDB', 'Docker']"
147,Senior Frontend / Fullstack Developer,Consdata S.A.,senior,14900 27220,"Angular, TypeScript, Java, Spring Framework, IntelliJ, Git, Docker, OpenShift",,14900,27220.0,"['Angular', 'TypeScript', 'Java', 'Spring Framework', 'IntelliJ', 'Git', 'Docker', 'OpenShift']"
148,Senior Fullstack Developer (Java+Angular),Consdata S.A.,senior,14900 27220,"Java, Spring Framework, Angular, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",14900,27220.0,"['Java', 'Spring Framework', 'Angular', 'PostgreSQL', 'MongoDB', 'Docker']"
149,Senior Java Developer,Consdata S.A.,senior,14900 27220,"Java, Spring Framework, Docker, Git, TypeScript, MongoDB","Kafka, OpenShift",14900,27220.0,"['Java', 'Spring Framework', 'Docker', 'Git', 'TypeScript', 'MongoDB']"
159,"Fullstack Developer (Node, React, TypeScript, React-Native)",JellyTech,mid,19200 25600,"Node.js, React.js, TypeScript",React Native,19200,25600.0,"['Node.js', 'React.js', 'TypeScript']"
160,Salesforce Developer,JellyTech,mid,21000 26900,"Salesforce, Apex, LWC, SF APIs, Visualforce, React.js, jQuery, cloudsense",,21000,26900.0,"['Salesforce', 'Apex', 'LWC', 'SF APIs', 'Visualforce', 'React.js', 'jQuery', 'cloudsense']"
161,Java Developer,JellyTech,senior,21800 26800,"Java, Spring Framework, Maven, JavaScript",,21800,26800.0,"['Java', 'Spring Framework', 'Maven', 'JavaScript']"
162,Java Developer,JellyTech,senior,21800 26800,"Java, React.js, React Native, NextJS, Kubernetes, MySQL, MariaDB",,21800,26800.0,"['Java', 'React.js', 'React Native', 'NextJS', 'Kubernetes', 'MySQL', 'MariaDB']"
163,"Fullstack Developer (React.js, NextJS, Java)",JellyTech,senior,21800 26800,"React.js, NextJS, Java, React Native, Go, Kubernetes, Scala",,21800,26800.0,"['React.js', 'NextJS', 'Java', 'React Native', 'Go', 'Kubernetes', 'Scala']"
191,C++ Game Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,12000 23000,"C++, SVN, Git",,12000,23000.0,"['C++', 'SVN', 'Git']"
192,FullStack Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,10000 18000,"JavaScript, TypeScript, React.js, Node.js","C#, C++",10000,18000.0,"['JavaScript', 'TypeScript', 'React.js', 'Node.js']"
193,DevOps Engineer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,14000 28000,"Linux, Kubernetes, AWS, Ansible, Terraform",,14000,28000.0,"['Linux', 'Kubernetes', 'AWS', 'Ansible', 'Terraform']"
194,Java Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,14000 28000,"Java, Spring Boot, Git, Docker",Node.js,14000,28000.0,"['Java', 'Spring Boot', 'Git', 'Docker']"
195,Embedded C++ Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,12000 20500,"C++, C",,12000,20500.0,"['C++', 'C']"
196,Backend Java Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,14000 28000,"Lagom, Spring Boot, Java",,14000,28000.0,"['Lagom', 'Spring Boot', 'Java']"
197,C++ Software Developer,NOVOMATIC Technologies Poland Sp. z o.o.,mid,12000 18000,"C++, Linux, Jenkins",,12000,18000.0,"['C++', 'Linux', 'Jenkins']"
198,Atlassian Administrator,NOVOMATIC Technologies Poland Sp. z o.o.,mid,6500 12000,Linux,,6500,12000.0,['Linux']
203,Data Engineer,ITDS Polska Sp. z o.o.,,18900 24150,,,18900,24150.0,[]
205,Frontend Developer,ITDS Polska Sp. z o.o.,mid,19950 26250,"React.js, Vue.js, CSS, JavaScript, TypeScript, HTML, Git","AWS, Docker, Kubernetes, CBCD, Jenkins, Groovy, Nexus, Splunk",19950,26250.0,"['React.js', 'Vue.js', 'CSS', 'JavaScript', 'TypeScript', 'HTML', 'Git']"
207,Sharepoint Developer,ITDS Polska Sp. z o.o.,senior,26250 27300,".NET, C#, React.js, SharePoint, TypeScript, SQL, NoSQL, Git, Microsoft Office 365, GitHub, CSS, Azure DevOps",,26250,27300.0,"['.NET', 'C#', 'React.js', 'SharePoint', 'TypeScript', 'SQL', 'NoSQL', 'Git', 'Microsoft Office 365', 'GitHub', 'CSS', 'Azure DevOps']"
209,Fullstack Engineer,APPLISCALE sp. z o.o.,mid,10000 22000,"JavaScript, TypeScript, Node.js, Java, Kotlin, Python, C++, Golang",,10000,22000.0,"['JavaScript', 'TypeScript', 'Node.js', 'Java', 'Kotlin', 'Python', 'C++', 'Golang']"
212,Data Warehouse Engineer - Developer,ITDS Polska Sp. z o.o.,mid,16800 23100,"SQL, T-SQL, MSSQL",Microsoft Azure,16800,23100.0,"['SQL', 'T-SQL', 'MSSQL']"
215,Data Warehouse Analyst,ITDS Polska Sp. z o.o.,mid,14700 21000,"Oracle, PL/SQL, SQL, T-SQL, MSSQL",,14700,21000.0,"['Oracle', 'PL/SQL', 'SQL', 'T-SQL', 'MSSQL']"
218,Cobol Developer,ITDS Polska Sp. z o.o.,mid,16800 27300,"COBOL, SQL",,16800,27300.0,"['COBOL', 'SQL']"
221,Senior Cloud Infrastructure Engineer,SmartRecruiters INC,senior,18000 28500,"AWS, Kubernetes, Bash, Python, Terraform, Networking, Linux, IaC","Java, SQL, Ansible, Databases, GCP",18000,28500.0,"['AWS', 'Kubernetes', 'Bash', 'Python', 'Terraform', 'Networking', 'Linux', 'IaC']"
222,PMO / Project Manager,ITDS Polska Sp. z o.o.,manager,16800 20160,"Microsoft Project, Jira, Confluence, SharePoint, Microsoft Excel, Micorosft PowerPoint",,16800,20160.0,"['Microsoft Project', 'Jira', 'Confluence', 'SharePoint', 'Microsoft Excel', 'Micorosft PowerPoint']"
223,Senior SAP CRM Developer,7N Sp. z o.o.,senior,26880 33600,"SAP, SAP ABAP, SAP HANA",,26880,33600.0,"['SAP', 'SAP ABAP', 'SAP HANA']"
234,Xamarin Developer,ITFS sp. z o.o.,mid,22400 27200,"Xamarin, C#, .NET, Git",,22400,27200.0,"['Xamarin', 'C#', '.NET', 'Git']"
235,Software Engineer .NET | High Load Platform,Adform Sp. z o.o.,mid,12000 25000,".NET, SQL, NoSQL, Git, Java, Scala",".NET Core, Puppet, Terraform, Ansible, Docker, Kubernetes, RabbitMQ, Kafka",12000,25000.0,"['.NET', 'SQL', 'NoSQL', 'Git', 'Java', 'Scala']"
237,Software Engineer (High Load),Adform Sp. z o.o.,mid,18000 35000,"C#, C++, C, Lua, Java, Scala",,18000,35000.0,"['C#', 'C++', 'C', 'Lua', 'Java', 'Scala']"
246,Test Manager,Mindbox S.A.,manager,25200 29400,,,25200,29400.0,[]
253,Senior JavaScript Fullstack Developer,Boldare,,13400 27000,,,13400,27000.0,[]
258,Golang Backend Developer,Prime Engineering Poland,senior,16000 18000,Golang,"Node.js, Java, Python, Jira, Docker, Kubernetes",16000,18000.0,['Golang']
261,Senior Test Automation Engineer,Prime Engineering Poland,senior,17000 21000,"Git, Ruby, Java, REST API, Gherkin","MongoDB, PostgreSQL, Kibana, Jira, Xray",17000,21000.0,"['Git', 'Ruby', 'Java', 'REST API', 'Gherkin']"
262,Remote Solution Architect,Jit Team sp. z o.o.,senior,32000 36000,"Jira, Confluence, Java",SQL,32000,36000.0,"['Jira', 'Confluence', 'Java']"
268,Software Engineer (SaaS Back-End AWS),Adtran,mid,12000 17000,Python,,12000,17000.0,['Python']
272,Lead Automation Test Engineer (Python),J-LABS sp. z o.o.,manager,22400 25600,"Python, AWS, Selenium",,22400,25600.0,"['Python', 'AWS', 'Selenium']"
274,Flutter Developer,ONWELO Sp. z o.o.,,8000 20160,,,8000,20160.0,[]
275,Java Developer,ITFS sp. z o.o.,mid,16000 19200,"Java, Maven, Spring Boot, AWS",,16000,19200.0,"['Java', 'Maven', 'Spring Boot', 'AWS']"
277,Systems Engineer/Linux,Lufthansa Systems,senior,10000 21000,"Debian, Red Hat",,10000,21000.0,"['Debian', 'Red Hat']"
283,Frontend Web Game Developer,Optimo Development Sp. z o.o.,mid,15000 20000,"JavaScript, TypeScript, PIXI.JS","ActionScript, RobotlegsJS, Three.js, WebGL, webpack, Node.js, Adobe Animate, Spine",15000,20000.0,"['JavaScript', 'TypeScript', 'PIXI.JS']"
286,Systems Engineer/DevOps,Lufthansa Systems,senior,10000 21000,"DevOps, Bash, Go, Ruby, Python, Docker, Kubernetes, Jenkins, Azure DevOps","Terraform, Ansible, Kafka, Elasticsearch, Puppet",10000,21000.0,"['DevOps', 'Bash', 'Go', 'Ruby', 'Python', 'Docker', 'Kubernetes', 'Jenkins', 'Azure DevOps']"
293,IT Team Leader,Hart Sp. z o.o.,,18000 20000,,,18000,20000.0,[]
306,Developer - Konfigurator Ferryt,7N Sp. z o.o.,mid,14280 16800,"FerrytFlow, UniFlow, BPMN, UML","SQL, T-SQL, HTML, CSS",14280,16800.0,"['FerrytFlow', 'UniFlow', 'BPMN', 'UML']"
313,Software Engineer in Test,HAPPY TEAM,senior,18000 25000,"C#, Selenium, Appium, RestAPI, Microsoft Azure, Git, SQL","Specflow, Xunit, Nunit, Java",18000,25000.0,"['C#', 'Selenium', 'Appium', 'RestAPI', 'Microsoft Azure', 'Git', 'SQL']"
320,Senior DevOps Engineer (AWS),7N Sp. z o.o.,senior,31920 36960,"Kubernetes, AWS, Terraform",,31920,36960.0,"['Kubernetes', 'AWS', 'Terraform']"
322,Database Administrator,Product Madness,mid,12500 14000,"MySQL, PostgreSQL, MongoDB, Snowflake Data Cloud","Ansible, Terraform, Google Cloud Platform, AWS, Docker, Kubernetes",12500,14000.0,"['MySQL', 'PostgreSQL', 'MongoDB', 'Snowflake Data Cloud']"
326,Identity Governance and Administration (IGA) Engineer,Kingit sp. z o.o.,mid,20000 26000,,,20000,26000.0,[]
327,PHP Developer,Scalo Sp. z o.o.,mid,19200 24000,"PHP, MySQL","JavaScript, AWS",19200,24000.0,"['PHP', 'MySQL']"
328,Senior Data Engineer (Azure DataBricks + SQL),Scalo Sp. z o.o.,senior,22400 27200,"Python, SQL, Scala",,22400,27200.0,"['Python', 'SQL', 'Scala']"
330,PMO Specialist,ITFS sp. z o.o.,mid,9600 12000,"Jira, SharePoint",,9600,12000.0,"['Jira', 'SharePoint']"
333,.NET Developer,Scalo Sp. z o.o.,mid,19200 22400,"SQL, .NET, C#",,19200,22400.0,"['SQL', '.NET', 'C#']"
334,System Analyst,Scalo Sp. z o.o.,mid,20800 25600,,,20800,25600.0,[]
337,Web Application Administrator,Raiffeisen Bank International AG (Spółka Akcyjna) Oddział w Polsce,mid,13000 15000,"SQL, Linux, Bash",,13000,15000.0,"['SQL', 'Linux', 'Bash']"
342,QA Senior (Automated),Primotly,senior,17000 22000,Automated Testing,,17000,22000.0,['Automated Testing']
343,Specjalista / Specjalistka ds. helpdesk,KAMSOFT PODLASIE sp. z o.o.,mid,4500 7400,Microsoft Excel,,4500,7400.0,['Microsoft Excel']
